Instrument,Date,Price Close,Volume,Company Market Capitalization,Price To Sales Per Share (Daily Time Series Ratio),Beta,Earnings Per Share - Actual,Price To Book Value Per Share (Daily Time Series Ratio),Forward Price To Book Value Per Share (Daily Time Series Ratio),P/E (Daily Time Series Ratio),Total Debt To Enterprise Value (Daily Time Series Ratio),Total Return,Number of Trades,Combined Alpha Model Sector Rank,Combined Alpha Model Industry Rank
MCHP.OQ,2023-05-01 00:00:00+00:00,75.38,2001933,41292854715.86,5.12941973067254,1.56474758710762,1.56,6.54232868273159,6.44273504273504,20.3670280026371,13.8439430188044,3.27442115358268,30418,98,99
MCHP.OQ,2023-04-28 00:00:00+00:00,72.99,2263501,39983622522.03,4.96678623165015,1.5743775064269,1.56,6.33489746023585,6.23846153846154,19.7212705480562,14.235550529704,1.65738161559888,21877,98,99
MCHP.OQ,2023-04-27 00:00:00+00:00,71.8,2898248,39331745404.6,4.88580971958461,1.5743775064269,1.56,6.2316158055204,6.13675213675213,19.3997427777838,14.4389148813176,-3.11698826069357,43313,98,99
MCHP.OQ,2023-04-26 00:00:00+00:00,74.11,1939228,40597153926.67,5.04299941947654,1.5816588755513,1.56,6.43210372349745,6.33418803418803,20.0238849200774,14.0493133313144,-0.349603334677968,23187,97,97
MCHP.OQ,2023-04-25 00:00:00+00:00,74.37,2832199,40739580859.89,5.06069176665052,1.59548480494187,1.56,6.45466946318318,6.35641025641026,20.0941346850109,14.0067744931101,-3.75307363789309,29855,98,99
MCHP.OQ,2023-04-24 00:00:00+00:00,77.27,1117987,42328188961.19,5.25802948512957,1.59047605027692,1.56,6.70636425198554,6.60427350427351,20.8776897554227,13.5491928429499,0.611979166666665,17594,97,96
MCHP.OQ,2023-04-21 00:00:00+00:00,76.8,1567656,42070724889.6,5.22604716523814,1.58112023687786,1.56,6.66557233793826,6.56410256410256,20.7506997957353,13.6213117700044,-0.903225806451616,20230,98,99
MCHP.OQ,2023-04-20 00:00:00+00:00,77.5,2520588,42454182017.5,5.27368040762963,1.58111752428833,1.56,6.72632625247676,6.62393162393162,20.9398337782485,13.5141781806356,-2.36835474930712,30107,98,99
MCHP.OQ,2023-04-19 00:00:00+00:00,79.38,1348614,43484038303.86,5.40160968719536,1.58121594767911,1.56,6.88949390866588,6.78461538461539,21.4477936169983,13.2346163423264,-1.7209359910858,19441,97,97
MCHP.OQ,2023-04-18 00:00:00+00:00,80.77,1217856,44245474600.69,5.49619569708704,1.58121594767911,1.56,7.01013382467804,6.9034188034188,21.8233596679888,13.035244247956,0.285572386391842,17745,96,96
MCHP.OQ,2023-04-17 00:00:00+00:00,80.54,1352769,44119481544.38,5.48054477458697,1.58169017967415,1.56,6.99017182418681,6.88376068376068,21.761215645163,13.0678181008995,1.26996102099837,19671,96,96
MCHP.OQ,2023-04-14 00:00:00+00:00,79.53,1199274,43566207688.41,5.41181681056496,1.57836504367908,1.56,6.90251260463841,6.7974358974359,21.4883223275368,13.2128082945196,-0.748783227255702,18562,96,94
MCHP.OQ,2023-04-13 00:00:00+00:00,80.13,1475162,43894885226.61,5.45264530404339,1.57859446651551,1.56,6.95458738852855,6.84871794871795,21.650437169691,13.1262901047282,1.13593335857629,16844,96,94
MCHP.OQ,2023-04-12 00:00:00+00:00,79.23,1185456,43401868919.31,5.39140256382575,1.57909788597764,1.56,6.87647521269334,6.77179487179487,21.4072649064597,13.2564964985314,-1.6387337057728,16780,96,94
MCHP.OQ,2023-04-11 00:00:00+00:00,80.55,1296434,44124959503.35,5.48122524947828,1.58014947850482,1.56,6.99103973725165,6.88461538461539,21.7639175591989,13.0663984615777,0.0,20378,96,96
MCHP.OQ,2023-04-10 00:00:00+00:00,80.55,1496543,44124959503.35,5.48122524947828,1.57949742165215,1.56,6.99103973725165,6.88461538461539,21.7639175591989,13.0663984615777,2.35069885641677,15218,96,96
MCHP.OQ,2023-04-06 00:00:00+00:00,78.7,1323259,43111537093.9,5.35533739458648,1.57949742165215,1.56,6.83047582025704,6.72649572649572,21.2640634625569,13.3343892060217,-1.03118712273641,17962,97,96
MCHP.OQ,2023-04-05 00:00:00+00:00,79.52,2866227,43560729729.44,5.41113633567366,1.57949742165215,1.56,6.90164469157358,6.7965811965812,21.4856204135009,13.2142599281486,-2.59676629103381,40648,97,97
MCHP.OQ,2023-04-04 00:00:00+00:00,81.64,1748940,44722057031.08,5.55539701263075,1.58263508529827,1.56,7.08564226131874,6.97777777777778,22.0584261891124,12.9134852853092,-1.29367670172892,22610,97,96
MCHP.OQ,2023-04-03 00:00:00+00:00,82.71,1347903,45308198640.87,5.62820782600061,1.58255472569311,1.56,7.17850895925617,7.06923076923077,22.347530990954,12.7668194340367,-1.27715445213656,15870,96,96
CAT.N,2023-05-01 00:00:00+00:00,217.27,828571,111971321423.69,1.81825582840032,1.07594806351082,4.91,6.18140859618747,5.70237472530731,16.061807687076,25.9995367008647,-0.699268738574041,6584,97,100
CAT.N,2023-04-28 00:00:00+00:00,218.8,1143163,112759815563.6,1.83105985756888,1.08086316533813,4.91,6.22493763909338,5.74253044551591,16.1749138027902,25.8561483954329,2.0855689824103,7851,93,94
CAT.N,2023-04-27 00:00:00+00:00,214.33,1206263,110456175821.51,1.86225669934037,1.08086316533813,4.91,6.97386910781117,6.55744225179746,16.9543948689877,26.2959741823461,-0.860354317961046,12230,93,94
CAT.N,2023-04-26 00:00:00+00:00,216.19,747441,111414737324.93,1.87841774754068,1.08086316533813,4.27,7.03438978406055,6.61434908979654,17.1015286088109,26.1176716537435,-1.11604079952431,7067,91,91
CAT.N,2023-04-25 00:00:00+00:00,218.63,718750,112672205103.61,1.8996182623841,1.08658000702729,4.27,7.11378249914038,6.6890010708276,17.2945427621275,25.8874036399265,-2.14832385982187,5070,90,92
CAT.N,2023-04-24 00:00:00+00:00,223.43,634865,115145912209.21,1.94132419322362,1.0850351814223,4.27,7.26996488946135,6.83585742695426,17.6742427358649,25.4460657509748,1.43460298724293,5937,91,93
CAT.N,2023-04-21 00:00:00+00:00,220.27,723631,113517388364.69,1.91386778875427,1.08075245114786,4.27,7.16714481583337,6.73917699250421,17.4242735864877,25.7349015867464,-0.359922616637423,5447,92,93
CAT.N,2023-04-20 00:00:00+00:00,222.27,795301,114548099658.69,1.9312452599374,1.08063584231261,4.27,7.23222081180045,6.80036714089032,17.5824819088783,25.5513378090629,-1.05942577342533,6055,92,92
CAT.N,2023-04-19 00:00:00+00:00,224.65,588784,115774646098.55,1.95192445064533,1.08109700271536,4.27,7.30966124700126,6.8728322585323,17.7707498125231,25.3362804570236,-0.24422735346358,4630,91,91
CAT.N,2023-04-18 00:00:00+00:00,225.2,563577,116058091704.4,1.95670325522069,1.08109700271536,4.27,7.3275571458922,6.88965868961262,17.8142571011806,25.2870962872317,-0.017758835020432,4243,91,91
CAT.N,2023-04-17 00:00:00+00:00,225.24,443959,116078705930.28,1.95705080464435,1.08109700271536,4.27,7.32885866581154,6.90814292286459,17.8174212676284,25.2835267045896,0.697424892703864,4274,91,93
CAT.N,2023-04-14 00:00:00+00:00,223.68,587389,115496159203.2,1.94349637712151,1.07955817612983,4.27,7.27809938895723,6.86029750038338,17.6940187761637,25.4234913268697,0.906753281905544,5826,91,93
CAT.N,2023-04-13 00:00:00+00:00,221.67,960295,114458304768.3,1.92603201858246,1.07966506666723,4.27,7.21269801301032,6.79865051372489,17.5350194121612,25.6061313919448,0.530612244897954,5088,91,93
